Site,SampleType,Plot,SampleInterval,GFF_ID,Vol_mL,Vial_ID,RunSet,Abs_750_NoAcid,Abs_665_NoAcid,Abs_corr_NoAcid,Conc_ChlA_NoAcid,Abs_750_Acid,Abs_665_Acid,Abs_corr_Acid,Conc_CHLA_Acid,EstimatedChlA_ug_L,Notes
Dean Creek,Grab,4,T0,1,300,2,1,0.004,0.059,0.054,0.054,0.001,0.038,0.037,0.037,4.137931034,no rinse
Dean Creek,Grab,4,T0,2,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Grab,5,T0,50,300,6,2,0.004,0.049,0.045,0.045,0.007,0.041,0.034,0.035,3.448275862,microplastic
Dean Creek,Grab,5,T0,51,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Grab,1,T0,201,200,10,1,0.004,0.06,0.056,0.055,0.005,0.045,0.04,0.04,6.32183908,
RBH Park,Grab,1,T0,203,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Grab,2,T0,227,350,8,2,0,0.069,0.068,0.068,-0.005,0.046,0.051,0.051,4.466338259,
RBH Park,Grab,2,T0,250,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Grab,3,T0,263,300,20,2,0.005,0.038,0.033,0.033,-0.006,0.022,0.027,0.027,2.528735632,
RBH Park,Grab,3,T0,236,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Grab,4,T0,235,233,21,2,0.003,0.053,0.05,0.05,-0.005,0.037,0.041,0.041,4.93315574,
RBH Park,Grab,4,T0,265,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Grab,5,T0,233,250,17,2,0.004,0.044,0.04,0.04,0.006,0.038,0.032,0.032,3.67816092,
RBH Park,Grab,5,T0,259,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,1,T1,104,200,15,1,0.004,0.058,0.054,0.053,0.004,0.043,0.039,0.037,6.091954023,filter torn; detritus
Cabretta,Grab,1,T1,105,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,2,T1,139,150,6,2,0.006,0.047,0.041,0.041,-0.006,0.023,0.029,0.028,6.283524904,bug; detrius
Cabretta,Grab,2,T1,138,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bug; dup
Cabretta,Grab,3,T1,129,150,19,1,0.004,0.043,0.038,0.038,0.006,0.033,0.027,0.025,5.823754789,
Cabretta,Grab,3,T1,128,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,4,T1,141,150,4,2,0.006,0.04,0.034,0.034,-0.005,0.019,0.024,0.022,5.210727969,
Cabretta,Grab,4,T1,140,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Grab,5,T1,89,200,9,1,0.004,0.043,0.039,0.039,0.002,0.03,0.029,0.026,4.482758621,
Cabretta,Grab,5,T1,90,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,detritus; dup
Dean Creek,Grab,1,T1,74,300,19,2,0.004,0.049,0.045,0.044,0.005,0.038,0.033,0.033,3.37164751,
Dean Creek,Grab,1,T1,75,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Grab,2,T1,78,250,21,2,0.006,0.05,0.043,0.043,0.008,0.04,0.032,0.031,3.954022989,
Dean Creek,Grab,2,T1,79,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Grab,3,T1,76,300,20,2,0.004,0.042,0.038,0.037,0.006,0.034,0.028,0.028,2.835249042,
Dean Creek,Grab,3,T1,77,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Grab,4,T1,26,300,16,1,0.005,0.052,0.048,0.048,0.014,0.047,0.033,0.033,3.67816092,
Dean Creek,Grab,4,T1,27,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
